article_id,source_id,source_item_key,source_entry_id,case_ids,title,canonical_url,language,published_date,content_type,discovery_status,selection_status,rights_review_id,rights_status,capture_status,boundary_status,pipeline_status,current_stage,last_run_id,machine_review_status,human_review_status,assigned_to,last_checked_at,notes
SRC0024-ART000217,SRC0024,卷中:畜生往生類:朱綱少府,ENT000225,,朱綱少府,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷中:畜生往生類:朱綱少府:dfdc37d212ed,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000218,SRC0024,卷中:畜生往生類:于媼,ENT000226,,于媼,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷中:畜生往生類:于媼:4581683d1e65,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000219,SRC0024,卷中:畜生往生類:顧居士,ENT000227,,顧居士,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷中:畜生往生類:顧居士:f2cd158a58c4,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000220,SRC0024,卷中:畜生往生類:方氏,ENT000228,,方氏,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷中:畜生往生類:方氏:3ac9804a82d2,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000221,SRC0024,卷中:畜生往生類:張母,ENT000229,,張母,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷中:畜生往生類:張母:47e9f0cdcb8f,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000222,SRC0024,卷中:畜生往生類:祖香,ENT000230,,祖香,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷中:畜生往生類:祖香:6fff8b98ad65,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000223,SRC0024,卷中:畜生往生類:郭大林,ENT000231,,郭大林,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷中:畜生往生類:郭大林:43f57f410055,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000224,SRC0024,卷中:畜生往生類:劉通志,ENT000232,,劉通志,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷中:畜生往生類:劉通志:9b96ae9607ab,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000225,SRC0024,卷中:畜生往生類:孫氏母,ENT000233,,孫氏母,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷中:畜生往生類:孫氏母:1552c044c187,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000226,SRC0024,卷中:畜生往生類:唐體如文學,ENT000234,,唐體如文學,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷中:畜生往生類:唐體如文學:eb1d1a6a180a,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000227,SRC0024,卷中:畜生往生類:楊嘉禕文學,ENT000235,,楊嘉禕文學,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷中:畜生往生類:楊嘉禕文學:f2a6445366eb,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000228,SRC0024,卷中:畜生往生類:郝熙載文學,ENT000236,,郝熙載文學,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷中:畜生往生類:郝熙載文學:06f9ec0eef3c,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000229,SRC0024,卷中:畜生往生類:朱氏,ENT000237,,朱氏,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷中:畜生往生類:朱氏:cb41b3d637e5,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000230,SRC0024,卷中:畜生往生類:徐氏,ENT000238,,徐氏,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷中:畜生往生類:徐氏:96cd960b153d,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000231,SRC0024,卷中:畜生往生類:戈廣泰居士,ENT000239,,戈廣泰居士,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷中:畜生往生類:戈廣泰居士:7c8dbb87b12c,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000232,SRC0024,卷中:畜生往生類:杜居士,ENT000240,,杜居士,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷中:畜生往生類:杜居士:580cae880d5b,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000233,SRC0024,卷中:畜生往生類:孫大玗居士,ENT000241,,孫大玗居士,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷中:畜生往生類:孫大玗居士:4afb97fc316d,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000234,SRC0024,卷中:畜生往生類:吳居士,ENT000242,,吳居士,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷中:畜生往生類:吳居士:0568595bdb8b,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000235,SRC0024,卷中:畜生往生類:吳居士#235,ENT000243,,吳居士,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷中:畜生往生類:吳居士:ad2d0b72eb30,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000236,SRC0024,卷下:諸聖同歸類:擇生極樂,ENT000244,,擇生極樂,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷下:諸聖同歸類:擇生極樂:ebda1348a371,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
